ElevationAttribute,ElevationUnit,VolumeAttribute,VolumeUnit,VolumeDateTimeStamp,ElevationValue,VolumeValue,ReservoirInflowValue,ReservoirReleaseValue
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-13","4662.5","10316","133.577","102.319"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-14","4662.5","10316","102.316","102.316"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-15","4662.35","10254","72.0571","103.315"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-16","4662.4","10274","9.40959","-0.67375"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-17","4662.52","10324","24.5292","-0.679167"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-18","4662.76","10423","49.2371","-0.675417"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-19","4663.08","10556","66.3696","-0.684583"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-20","4663.34","10664","53.7604","-0.689583"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-21","4663.55","10752","43.6696","-0.697083"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-22","4663.79","10853","50.2204","-0.700417"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-23","4664.02","10950","48.2033","-0.700833"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-24","4664.1","10984","16.44","-0.701667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-25","4664.33","11081","48.2217","-0.6825"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-26","4664.52","11162","40.1533","-0.684167"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-27","4664.75","11260","48.7317","-0.676667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-02-28","4664.85","11303","21.0083","-0.670833"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-01","4665.08","11402","49.2396","-0.672917"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-02","4665.27","11483","40.1592","-0.678333"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-03","4665.35","11518","16.9733","-0.6725"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-04","4665.6","11626","53.7829","-0.667083"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-05","4665.85","11734","53.7817","-0.668333"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-06","4666.08","11834","49.7487","-0.667917"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-07","4666.27","11917","41.1742","-0.671667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-08","4666.51","12022","52.2708","-0.666667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-09","4666.77","12136","56.8096","-0.665417"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-10","4667.02","12247","55.3017","-0.660833"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-11","4667.25","12348","50.2542","-0.666667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-12","4667.35","12393","22.02","-0.6675"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-13","4667.58","12495","50.7567","-0.668333"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-14","4667.77","12580","42.1858","-0.668333"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-15","4668","12682","50.7654","-0.659583"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-16","4668.25","12794","55.3758","-1.09083"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-17","4668.35","12839","22.04","-0.6475"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-18","4668.74","13014","87.5837","-0.645417"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-19","4668.89","13082","33.6312","-0.652083"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-20","4669.1","13176","46.7333","-0.658333"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-21","4669.27","13253","38.1729","-0.647917"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-22","4669.58","13393","69.9362","-0.647083"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-23","4669.83","13507","56.8271","-0.647917"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-24","4670.01","13589","40.6954","-0.64625"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-25","4670.25","13698","54.3075","-0.646667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-26","4670.5","13812","56.8246","-0.650417"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-27","4670.6","13858","22.5504","-0.64125"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-28","4670.83","13963","52.3004","-0.637083"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-29","4671","14041","38.6937","-0.63125"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-30","4671.27","14165","61.9058","-0.610833"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-03-31","4671.6","14316","75.4875","-0.641667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-01","4672","14501","92.6154","-0.655417"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-02","4672.25","14616","57.3225","-0.656667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-03","4672.5","14732","57.8258","-0.6575"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-04","4672.6","14779","23.0417","-0.654167"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-05","4673.01","14969","95.1392","-0.6525"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-06","4671.77","14395","-290.048","-0.656667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-07","4672.02","14510","57.3246","-0.654583"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-08","4672.25","14616","52.8","-0.641667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-09","4672.5","14732","57.8504","-0.632917"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-10","4672.51","14737","89.8817","87.3608"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-11","4672.49","14728","82.8487","87.3863"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-12","4672.52","14741","93.9583","87.4042"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-13","4672.35","14663","131.049","170.374"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-14","4672.08","14538","105.353","168.374"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-15","4671.85","14431","113.448","167.394"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-16","4671.75","14385","143.219","166.411"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-17","4671.77","14395","171.464","166.422"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-18","4671.83","14422","181.034","167.421"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-19","4671.85","14431","171.964","167.427"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-20","4672","14501","202.725","167.433"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-21","4672.08","14538","188.088","169.434"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-22","4672.1","14547","171.934","167.396"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-23","4672.01","14505","147.2","168.375"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-24","4671.8","14408","118.485","167.389"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-25","4671.6","14316","119.017","165.4"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-26","4671.5","14270","141.207","164.399"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-27","4671.08","14077","64.1087","161.413"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-28","4671.25","14155","202.325","163"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-29","4671.08","14077","122.046","161.371"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-04-30","4671.08","14077","81.3642","81.3642"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-01","4671.23","14146","117.155","82.3671"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-02","4671.33","14192","105.552","82.36"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-03","4671.5","14270","122.702","83.3767"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-04","4671.77","14395","147.416","84.3954"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-05","4671.85","14431","102.525","84.3754"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-06","4672.08","14538","139.312","85.3667"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-07","4672.1","14547","89.8967","85.3592"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-08","4672.25","14616","121.165","86.3771"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-09","4672.27","14626","91.4446","86.4029"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-10","4672.33","14653","100.019","86.4062"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-11","4672.52","14741","130.747","86.3808"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-12","4672.35","14663","173.056","212.381"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-13","4672.1","14547","150.905","209.388"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-14","4672.02","14510","149.741","168.395"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-15","4671.85","14431","86.5788","126.408"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-16","4671.85","14431","126.42","126.42"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-17","4671.85","14431","126.427","126.427"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-18","4672.26","14621","224.219","128.428"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-19","4672.34","14658","217.066","198.412"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-20","4672.33","14653","195.882","198.403"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-21","4672.33","14653","198.398","198.398"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-22","4672.5","14732","239.224","199.395"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-23","4672.33","14653","212.556","252.385"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-24","4672.35","14663","203.42","198.378"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-25","4672.25","14616","215.691","239.387"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-26","4672.08","14538","143.08","182.405"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-27","4672.03","14515","170.821","182.417"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-28","4672.08","14538","194.014","182.418"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-29","4672.21","14598","213.65","183.4"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-30","4672.25","14616","193.472","184.397"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-05-31","4672.25","14616","184.412","184.412"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-01","4672.31","14644","198.535","184.418"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-02","4672.27","14626","175.349","184.424"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-03","4672.33","14653","198.046","184.433"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-04","4672.26","14621","180.753","196.887"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-05","4672.1","14547","175.579","212.887"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-06","4672.04","14519","203.028","217.145"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-07","4672.1","14547","215.971","201.855"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-08","4672.01","14505","191.218","212.393"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-09","4671.84","14427","191.467","230.792"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-10","4672","14501","189.815","152.507"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-11","4672.07","14533","168.679","152.546"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-12","4672.06","14528","150.1","152.621"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-13","4672.02","14510","145.217","154.292"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-14","4672.03","14515","93.3517","90.8308"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-15","4672.08","14538","67.4358","55.84"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-16","4672.3","14639","102.755","51.8342"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-17","4672.35","14663","62.4721","50.3721"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-18","4672.27","14626","31.7333","50.3875"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-19","4672.08","14538","6.09166","50.4583"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-20","4672.03","14515","37.7517","49.3475"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-21","4671.77","14395","-17.9558","42.5442"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-22","4672.05","14524","107.618","42.58"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-23","4671.65","14339","-48.1912","45.0796"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-24","4671.56","14298","29.2679","49.9388"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-25","4671.35","14201","-25.5579","23.3463"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-26","4671.37","14210","66.195","61.6575"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-27","4670.96","14022","-24.6446","70.1387"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-28","4670.66","13885","7.18625","76.2571"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-29","4670.39","13762","23.65","85.6625"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-06-30","4669.93","13552","-18.6729","87.2021"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-01","4669.64","13421","25.8108","91.8567"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-02","4669.53","13371","35.2408","60.4492"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-03","4669.59","13398","41.1921","27.5796"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-04","4669.53","13371","15.6825","29.295"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-05","4669.36","13294","-9.57166","29.2492"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-06","4669.38","13303","33.8325","29.295"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-07","4669.01","13136","-21.1313","63.0646"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-08","4668.46","12888","-24.2654","100.768"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-09","4668.02","12691","6.67916","106"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-10","4667.65","12526","27.8054","110.993"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-11","4667.22","12335","14.7042","111"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-12","4666.79","12145","16.6725","112.464"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-13","4666.43","11987","31.3358","110.994"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-14","4666.04","11817","23.7758","109.484"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-15","4665.49","11578","-11.5029","108.993"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-16","4664.91","11329","-11.8842","113.653"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-17","4664.43","11124","11.1125","114.467"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-18","4664.04","10959","23.7533","106.941"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-19","4663.75","10836","44.2104","106.223"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-20","4663.07","10552","-33.8125","109.371"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-21","4662.61","10361","9.57417","105.87"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-22","4662.25","10213","29.1479","103.765"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-23","4661.97","10098","42.0979","100.077"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-24","4661.49","9902","-1.06","97.7567"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-25","4661.05","9724","2.21833","91.96"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-26","4660.7","9584","21.445","92.0283"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-27","4660.15","9364","-15.0292","95.8875"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-28","4659.76","9209","17.7658","95.9117"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-29","4659.67","9174","71.5433","89.1892"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-30","4659.15","8969","-14.0813","89.2729"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-07-31","4658.91","8875","40.4808","87.8725"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-01","4658.46","8700","-6.22917","82"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-02","4658.15","8580","13.2875","73.7875"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-03","4658.03","8534","49.9879","73.1796"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-04","4657.55","8351","-11.1092","81.1533"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-05","4657.22","8225","23.2479","86.7729"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-06","4656.99","8138","41.77","85.6325"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-07","4656.56","7976","-19.2746","62.4004"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-08","4656.28","7871","30.3229","83.2604"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-09","4655.95","7749","18.745","80.2533"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-10","4655.45","7564","-3.03417","90.2367"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-11","4654.93","7374","0.64875","96.4404"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-12","4654.44","7196","5.6175","95.3592"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-13","4653.92","7009","1.25083","95.53"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-14","4653.28","6781","-18.3492","96.6008"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-15","4652.7","6577","-3.16458","99.6854"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-16","4652.07","6358","-13.0558","97.3567"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-17","4651.51","6165","4.04583","101.35"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-18","4650.98","5983","7.13917","98.8975"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-19","4650.49","5817","14.1283","97.82"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-20","4650.03","5662","17.7975","95.9433"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-21","4649.5","5484","4.14458","93.8863"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-22","4649.08","5345","14.6967","84.7758"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-23","4648.69","5216","17.8487","82.8863"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-24","4648.3","5088","17.905","82.4383"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-25","4647.94","4970","19.3796","78.8712"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-26","4647.58","4853","16.2771","75.2646"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-27","4647.19","4727","11.1521","74.6771"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-28","4646.81","4605","11.0825","72.5908"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-29","4646.55","4522","30.0317","71.8775"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-30","4646.29","4439","28.0846","69.9304"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-08-31","4646.13","4388","33.6296","59.3421"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-09-01","4645.91","4319","30.9671","65.7546"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-09-02","4645.69","4249","29.4762","64.7679"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-09-03","4645.48","4183","29.11","62.385"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-09-04","4645.31","4130","29.4358","56.1567"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-09-05","4645.13","4073","26.7608","55.4983"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-09-06","4645","4033","34.69","54.8567"
"Reservoir Elevation","Feet","Reservoir Storage","Acre feet","2010-09-07","4644.82","3977","26.295","54.5283"
