WEAPObjectType ,ObjectTypeCV,ObjectType,DatasetAcronym,WEAPAttributeName,AttributeNameCV,AttributeName
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Loss to Groundwater","Volume","Inactive Storage Pool"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Loss to Groundwater","Volume","Max Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Loss to Groundwater","Volume","Starting End-of-Month Contents"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Max. Turbine Flow","Flow","Historic Diversion outflow"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Max. Turbine Flow","Flow","Import/Export net inflow"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Maximum Hydraulic Outflow","Flow","Historic Diversion outflow"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Maximum Hydraulic Outflow","Flow","Import/Export net inflow"
"Reservoir","Reservoir","RESERVOIR EVAPORATION","WaDEData","Net Evaporation","Evaporation","Water Use /surface"
"Reservoir","Reservoir","Reservoir","WEAP","Net Evaporation","Evaporation","Net Evaporation"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Net Evaporation","Evaporation","Net Evaporation - acre-ft"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Net Evaporation","Evaporation","Net Evaporation - inches"
"Reservoir","Reservoir","Dam","US Major Dams","Observed Volume","Volume","MAX_STOR"
"Reservoir","Reservoir","Dam","US Major Dams","Observed Volume","Volume","NORMAL_STO"
"Reservoir","Reservoir","Dam","UtahDams","Observed Volume","Volume","Capacity"
"Reservoir","Reservoir","Dam","UtahDams","Observed Volume","Volume","InitCap"
"Reservoir","Reservoir","Dam","UtahDams","Observed Volume","Volume","MaxCap"
"Reservoir","Reservoir","Dam","UtahDams","Observed Volume","Volume","MinCap"
"Reservoir","Reservoir","Dam","UtahDams","Observed Volume","Volume","STORG_ACFT"
"Reservoir","Reservoir","Reservoir","WEAP","Observed Volume","Volume","Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Observed Volume","Volume","Inactive Storage Pool"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Observed Volume","Volume","Max Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Observed Volume","Volume","Starting End-of-Month Contents"
"Reservoir","Reservoir","Reservoir","WEAP","Priority","Priority","Priority"
"Reservoir","Reservoir","Dam","US Major Dams","Storage Capacity","Volume","MAX_STOR"
"Reservoir","Reservoir","Dam","US Major Dams","Storage Capacity","Volume","NORMAL_STO"
"Reservoir","Reservoir","Dam","UtahDams","Storage Capacity","Volume","Capacity"
"Reservoir","Reservoir","Dam","UtahDams","Storage Capacity","Volume","InitCap"
"Reservoir","Reservoir","Dam","UtahDams","Storage Capacity","Volume","MaxCap"
"Reservoir","Reservoir","Dam","UtahDams","Storage Capacity","Volume","MinCap"
"Reservoir","Reservoir","Dam","UtahDams","Storage Capacity","Volume","STORG_ACFT"
"Reservoir","Reservoir","Reservoir","WEAP","Storage Capacity","Volume","Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Storage Capacity","Volume","Inactive Storage Pool"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Storage Capacity","Volume","Max Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Storage Capacity","Volume","Starting End-of-Month Contents"
"Reservoir","Reservoir","Dam","US Major Dams","Tailwater Elevation","Elevation","NID_HEIGHT"
"Reservoir","Reservoir","Dam","UtahDams","Tailwater Elevation","Elevation","ELEVATION"
"Reservoir","Reservoir","Dam","UtahDams","Tailwater Elevation","Elevation","Stage"
"Reservoir","Reservoir","Dam","US Major Dams","Top of Buffer","Volume","MAX_STOR"
"Reservoir","Reservoir","Dam","US Major Dams","Top of Buffer","Volume","NORMAL_STO"
"Reservoir","Reservoir","Dam","UtahDams","Top of Buffer","Volume","Capacity"
"Reservoir","Reservoir","Dam","UtahDams","Top of Buffer","Volume","InitCap"
"Reservoir","Reservoir","Dam","UtahDams","Top of Buffer","Volume","MaxCap"
"Reservoir","Reservoir","Dam","UtahDams","Top of Buffer","Volume","MinCap"
"Reservoir","Reservoir","Dam","UtahDams","Top of Buffer","Volume","STORG_ACFT"
"Reservoir","Reservoir","Reservoir","WEAP","Top of Buffer","Volume","Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Top of Buffer","Volume","Inactive Storage Pool"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Top of Buffer","Volume","Max Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Top of Buffer","Volume","Starting End-of-Month Contents"
"Reservoir","Reservoir","Dam","US Major Dams","Top of Conservation","Volume","MAX_STOR"
"Reservoir","Reservoir","Dam","US Major Dams","Top of Conservation","Volume","NORMAL_STO"
"Reservoir","Reservoir","Dam","UtahDams","Top of Conservation","Volume","Capacity"
"Reservoir","Reservoir","Dam","UtahDams","Top of Conservation","Volume","InitCap"
"Reservoir","Reservoir","Dam","UtahDams","Top of Conservation","Volume","MaxCap"
"Reservoir","Reservoir","Dam","UtahDams","Top of Conservation","Volume","MinCap"
"Reservoir","Reservoir","Dam","UtahDams","Top of Conservation","Volume","STORG_ACFT"
"Reservoir","Reservoir","Reservoir","WEAP","Top of Conservation","Volume","Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Top of Conservation","Volume","Inactive Storage Pool"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Top of Conservation","Volume","Max Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Top of Conservation","Volume","Starting End-of-Month Contents"
"Reservoir","Reservoir","Dam","US Major Dams","Top of Inactive","Volume","MAX_STOR"
"Reservoir","Reservoir","Dam","US Major Dams","Top of Inactive","Volume","NORMAL_STO"
"Reservoir","Reservoir","Dam","UtahDams","Top of Inactive","Volume","Capacity"
"Reservoir","Reservoir","Dam","UtahDams","Top of Inactive","Volume","InitCap"
"Reservoir","Reservoir","Dam","UtahDams","Top of Inactive","Volume","MaxCap"
"Reservoir","Reservoir","Dam","UtahDams","Top of Inactive","Volume","MinCap"
"Reservoir","Reservoir","Dam","UtahDams","Top of Inactive","Volume","STORG_ACFT"
"Reservoir","Reservoir","Reservoir","WEAP","Top of Inactive","Volume","Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Top of Inactive","Volume","Inactive Storage Pool"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Top of Inactive","Volume","Max Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Top of Inactive","Volume","Starting End-of-Month Contents"
"Reservoir","Reservoir","Dam","UtahDams","Volume Elevation Curve","Reservoir bathymetry curve","Stage-Area-Capacity"
"Reservoir","Reservoir","Dam","US Major Dams","Volume-Curve","Volume","MAX_STOR"
"Reservoir","Reservoir","Dam","US Major Dams","Volume-Curve","Volume","NORMAL_STO"
"Reservoir","Reservoir","Dam","UtahDams","Volume-Curve","Volume","Capacity"
"Reservoir","Reservoir","Dam","UtahDams","Volume-Curve","Volume","InitCap"
"Reservoir","Reservoir","Dam","UtahDams","Volume-Curve","Volume","MaxCap"
"Reservoir","Reservoir","Dam","UtahDams","Volume-Curve","Volume","MinCap"
"Reservoir","Reservoir","Dam","UtahDams","Volume-Curve","Volume","STORG_ACFT"
"Reservoir","Reservoir","Reservoir","WEAP","Volume-Curve","Volume","Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Volume-Curve","Volume","Inactive Storage Pool"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Volume-Curve","Volume","Max Storage Capacity"
"Reservoir","Reservoir","Reservoir Node","BearRiverWyoming","Volume-Curve","Volume","Starting End-of-Month Contents"
