Name, Type, River, Source, Destination, Demand Priority, Supply Preference, Allocation Order
Transmission Link from Hyrum Canal Withdrawal to Hyrum Canal, Transmission Link, South Fork Little Bear River, Hyrum Canal Withdrawal, Hyrum Canal, 24, 1, 14
Transmission Link from Porcupine Reservoir to Highline Canal, Transmission Link, East Fort Little Bear River, Porcupine Reservoir, Highline Canal, 49, 1, 22
Transmission Link from Grace Dam to Bench B, Transmission Link, Lower Bear, Grace Dam, Bench B, 36, 1, 20
Transmission Link from Withdrawal Node 6 to Gentile Valley, Transmission Link, Lower Bear, Withdrawal Node 6, Gentile Valley, 30, 1, 17
Deep Creek, Reservoir, Deep Creek, , , 99, , 23
Mud Lake, Reservoir, , , , 99, , 23
Irrigation Release Requir, Flow Requirement, Rainbow Canal and Outlet, , , 1, , 1
Transmission Link from Withdrawal Node 9 to West Fork, Transmission Link, Rainbow Canal and Outlet, Withdrawal Node 9, West Fork, 24, 1, 14
Transmission Link from Withdrawal Node 8 to Montpelier Irr, Transmission Link, Central Bear, Withdrawal Node 8, Montpelier Irr, 99, 1, 23
re, Flow Requirement, Rainbow Inlet Diversion, , , 2, , 2
Transmission Link from Withdrawal Node 10 to Bench B, Transmission Link, Lower Bear, Withdrawal Node 10, Bench B, 36, 99, 21
Soda Instream, Flow Requirement, Lower Bear, , , 1, , 1
Grace Instream, Flow Requirement, Lower Bear, , , 1, , 1
Oneida Instream, Flow Requirement, Lower Bear, , , 1, , 1
Transmission Link from Cache Valley Groundwater to North Cache Potable, Transmission Link, , Cache Valley Groundwater, North Cache Potable, 19, 1, 11
Transmission Link from Withdrawal Node 12 to Logan Potable, Transmission Link, Dewitt Spring, Withdrawal Node 12, Logan Potable, 19, 19, 10
Transmission Link from Withdrawal Node 13 to South  Blacksmith Irr, Transmission Link, Blacksmith Fork, Withdrawal Node 13, South  Blacksmith Irr, 17, 1, 8
Transmission Link from Withdrawal Node 17 to Providence Irr, Transmission Link, Blacksmith Fork, Withdrawal Node 17, Providence Irr, 16, 1, 7
Transmission Link from Withdrawal Node 27 to North Cache Potable, Transmission Link, Cub River, Withdrawal Node 27, North Cache Potable, 19, 2, 12
Stewart Leakage, Flow Requirement, Stewart Leakage, , , 1, , 1
